plot_id,point_id,timestamp,lat,lng,x_m,y_m,N,P,K,pH,EC,hum,temp
Plot_A_Subur,1,2026-05-27 07:30:00,-6.316267,107.30006,6.64,48.24,224,29,184,6.22,944,60.29,27.86
Plot_A_Subur,2,2026-05-27 07:30:12,-6.31722,107.299457,-60.06,-57.93,214,26,187,6.69,902,60.8,28.7
Plot_A_Subur,3,2026-05-27 07:30:24,-6.316703,107.299498,-55.45,-0.3,230,26,152,6.14,948,61.3,28.11
Plot_A_Subur,4,2026-05-27 07:30:36,-6.316996,107.300122,13.51,-32.94,204,31,178,6.69,1053,55.68,28.62
Plot_A_Subur,5,2026-05-27 07:30:48,-6.316604,107.299509,-54.23,10.69,237,25,158,6.3,1011,61.84,28.25
Plot_A_Subur,6,2026-05-27 07:31:00,-6.31729,107.300562,62.08,-65.68,179,37,183,6.64,855,57.42,28.47
Plot_A_Subur,7,2026-05-27 07:31:12,-6.316667,107.300696,76.94,3.62,192,31,147,6.26,944,56.91,28.28
Plot_A_Subur,8,2026-05-27 07:31:24,-6.316783,107.300686,75.81,-9.28,188,33,152,6.38,971,56.7,28.47
Plot_A_Subur,9,2026-05-27 07:31:36,-6.316826,107.300545,60.28,-14.05,192,31,154,6.3,987,54.48,28.25
Plot_A_Subur,10,2026-05-27 07:31:48,-6.316762,107.299821,-19.74,-6.95,227,28,169,6.45,1072,56.66,28.94
Plot_A_Subur,11,2026-05-27 07:32:00,-6.317421,107.300642,71.02,-80.29,172,36,180,6.35,842,58.37,28.63
Plot_A_Subur,12,2026-05-27 07:32:12,-6.316129,107.299925,-8.34,63.51,219,29,202,6.41,906,61.17,28.1
Plot_A_Subur,13,2026-05-27 07:32:24,-6.316966,107.30016,17.66,-29.63,206,31,177,6.66,1073,55.38,28.36
Plot_A_Subur,14,2026-05-27 07:32:36,-6.316148,107.299241,-83.93,61.46,228,28,158,6.15,746,63.46,28.22
Plot_A_Subur,15,2026-05-27 07:32:48,-6.316016,107.300763,84.33,76.18,195,36,148,6.09,726,61.94,27.79
Plot_A_Subur,16,2026-05-27 07:33:00,-6.317067,107.30024,26.54,-40.81,191,31,190,6.62,1035,55.31,28.81
Plot_A_Subur,17,2026-05-27 07:33:12,-6.317471,107.299944,-6.21,-85.79,198,33,219,6.81,961,58.33,28.49
Plot_A_Subur,18,2026-05-27 07:33:24,-6.317438,107.299568,-47.8,-82.2,205,31,205,6.67,899,61.17,28.39
Plot_A_Subur,19,2026-05-27 07:33:36,-6.316143,107.300241,26.69,62.05,214,32,190,6.34,935,58.12,27.68
Plot_A_Subur,20,2026-05-27 07:33:48,-6.317176,107.299887,-12.54,-52.97,207,30,203,6.8,982,58.53,28.58
Plot_A_Subur,21,2026-05-27 07:34:00,-6.317315,107.299841,-17.58,-68.46,203,32,206,6.77,982,59.49,27.86
Plot_A_Subur,22,2026-05-27 07:34:12,-6.316506,107.299937,-6.99,21.63,226,28,182,6.4,1026,58.35,28.35
Plot_A_Subur,23,2026-05-27 07:34:24,-6.316688,107.299262,-81.63,1.31,233,24,139,6.23,954,59.54,27.92
Plot_A_Subur,24,2026-05-27 07:34:36,-6.316801,107.299457,-59.98,-11.3,231,27,155,6.29,983,59.98,27.18
Plot_A_Subur,25,2026-05-27 07:34:48,-6.316915,107.29983,-18.78,-23.94,218,28,182,6.59,1034,59.83,28.65
Plot_A_Subur,26,2026-05-27 07:35:00,-6.317415,107.299987,-1.43,-79.57,190,31,218,6.8,952,59.28,29.1
Plot_A_Subur,27,2026-05-27 07:35:12,-6.316973,107.300048,5.29,-30.38,213,29,179,6.74,1066,55.52,28.81
Plot_A_Subur,28,2026-05-27 07:35:24,-6.315975,107.299768,-25.62,80.74,218,32,193,6.38,853,64.9,27.71
Plot_A_Subur,29,2026-05-27 07:35:36,-6.317411,107.300136,15.01,-79.2,191,32,215,6.82,970,58.51,28.68
Plot_A_Subur,30,2026-05-27 07:35:48,-6.316965,107.300274,30.29,-29.48,199,34,176,6.54,1096,52.23,28.55
Plot_A_Subur,31,2026-05-27 07:36:00,-6.317392,107.300102,11.22,-76.99,188,33,219,6.77,1020,58.3,28.42
Plot_A_Subur,32,2026-05-27 07:36:12,-6.317449,107.300451,49.91,-83.35,175,36,195,6.53,861,57.52,28.65
Plot_A_Subur,33,2026-05-27 07:36:24,-6.316814,107.299258,-81.98,-12.72,231,22,137,6.32,936,58.86,28.39
Plot_A_Subur,34,2026-05-27 07:36:36,-6.316476,107.300168,18.52,24.88,216,30,180,6.45,986,57.2,27.85
Plot_A_Subur,35,2026-05-27 07:36:48,-6.316865,107.300109,12.04,-18.38,213,30,187,6.56,1047,55.46,28.22
Plot_A_Subur,36,2026-05-27 07:37:00,-6.3171,107.299944,-6.22,-44.57,209,29,188,6.84,1031,58.48,28.76
Plot_A_Subur,37,2026-05-27 07:37:12,-6.31653,107.299769,-25.52,18.96,226,27,172,6.32,1008,59.25,28.02
Plot_A_Subur,38,2026-05-27 07:37:24,-6.316396,107.299411,-65.06,33.85,235,28,156,6.2,864,61.49,27.36
Plot_A_Subur,39,2026-05-27 07:37:36,-6.31691,107.300045,4.97,-23.33,211,30,186,6.64,1088,55.06,28.09
Plot_A_Subur,40,2026-05-27 07:37:48,-6.317364,107.299308,-76.51,-73.93,209,26,171,6.48,803,62.75,28.59
Plot_A_Subur,41,2026-05-27 07:38:00,-6.316858,107.300298,32.89,-17.57,199,30,175,6.38,1049,53.99,28.31
Plot_A_Subur,42,2026-05-27 07:38:12,-6.316418,107.299661,-37.46,31.35,234,28,167,6.38,940,62.03,27.98
Plot_A_Subur,43,2026-05-27 07:38:24,-6.316599,107.299992,-0.83,11.22,220,28,167,6.5,1064,57.27,28.79
Plot_A_Subur,44,2026-05-27 07:38:36,-6.31696,107.299389,-67.57,-28.98,228,25,161,6.5,902,61.63,27.98
Plot_A_Subur,45,2026-05-27 07:38:48,-6.316694,107.299777,-24.69,0.61,223,27,169,6.34,1036,59.81,28.45
Plot_A_Subur,46,2026-05-27 07:39:00,-6.317399,107.300469,51.79,-77.76,179,37,198,6.68,889,56.74,28.03
Plot_A_Subur,47,2026-05-27 07:39:12,-6.315977,107.300568,62.84,80.52,198,36,170,6.15,797,60.36,27.8
Plot_A_Subur,48,2026-05-27 07:39:24,-6.316453,107.300043,4.71,27.45,222,29,186,6.45,983,57.41,27.83
Plot_A_Subur,49,2026-05-27 07:39:36,-6.316784,107.300084,9.28,-9.36,211,30,173,6.57,1088,54.96,28.57
Plot_A_Subur,50,2026-05-27 07:39:48,-6.317284,107.300257,28.4,-65.0,183,33,203,6.7,946,55.51,28.68
Plot_A_Subur,51,2026-05-27 07:40:00,-6.316473,107.300725,80.16,25.23,210,31,140,6.16,870,57.87,27.85
Plot_A_Subur,52,2026-05-27 07:40:12,-6.317303,107.299658,-37.83,-67.12,206,30,200,6.89,883,61.69,28.72
Plot_A_Subur,53,2026-05-27 07:40:24,-6.317321,107.299451,-60.71,-69.13,216,27,187,6.44,863,60.21,27.75
Plot_A_Subur,54,2026-05-27 07:40:36,-6.316273,107.300431,47.6,47.51,210,33,168,6.19,869,57.31,28.41
Plot_A_Subur,55,2026-05-27 07:40:48,-6.317082,107.299816,-20.38,-42.54,217,28,186,6.73,974,59.16,28.41
Plot_A_Subur,56,2026-05-27 07:41:00,-6.316053,107.299675,-35.93,72.08,219,29,177,6.37,864,62.59,28.02
Plot_A_Subur,57,2026-05-27 07:41:12,-6.316842,107.300715,79.06,-15.76,193,31,141,6.05,967,56.1,27.86
Plot_A_Subur,58,2026-05-27 07:41:24,-6.317477,107.300084,9.32,-86.45,185,32,226,6.81,904,57.79,28.07
Plot_A_Subur,59,2026-05-27 07:41:36,-6.31618,107.300321,35.48,57.89,206,32,169,6.51,875,59.37,27.77
Plot_A_Subur,60,2026-05-27 07:41:48,-6.316767,107.30071,78.51,-7.5,197,35,148,6.17,946,57.7,28.24
Plot_A_Subur,61,2026-05-27 07:42:00,-6.316674,107.300675,74.57,2.9,204,31,142,6.08,956,57.09,28.02
Plot_A_Subur,62,2026-05-27 07:42:12,-6.316336,107.299703,-32.82,40.51,233,29,171,6.22,950,62.58,28.05
Plot_A_Subur,63,2026-05-27 07:42:24,-6.317118,107.299793,-22.87,-46.53,215,28,189,6.71,984,59.7,28.23
Plot_A_Subur,64,2026-05-27 07:42:36,-6.316427,107.299744,-28.32,30.36,232,27,172,6.3,1016,60.86,27.75
Plot_A_Subur,65,2026-05-27 07:42:48,-6.316454,107.30015,16.54,27.39,217,30,179,6.39,989,56.23,28.36
Plot_A_Subur,66,2026-05-27 07:43:00,-6.316849,107.300305,33.7,-16.61,203,30,169,6.44,1045,54.35,28.31
Plot_A_Subur,67,2026-05-27 07:43:12,-6.31683,107.299684,-34.97,-14.51,220,25,167,6.46,1054,60.78,28.46
Plot_A_Subur,68,2026-05-27 07:43:24,-6.317297,107.299337,-73.28,-66.47,203,27,173,6.58,861,62.39,28.63
Plot_A_Subur,69,2026-05-27 07:43:36,-6.316824,107.299369,-69.7,-13.8,225,24,146,6.18,974,60.08,28.44
Plot_A_Subur,70,2026-05-27 07:43:48,-6.316502,107.29933,-74.06,22.09,237,25,153,6.24,912,62.06,28.07
Plot_A_Subur,71,2026-05-27 07:44:00,-6.317031,107.299686,-34.66,-36.81,219,28,186,6.68,1009,61.08,28.17
Plot_A_Subur,72,2026-05-27 07:44:12,-6.316864,107.30008,8.8,-18.2,208,30,181,6.61,1137,54.25,28.77
Plot_A_Subur,73,2026-05-27 07:44:24,-6.316617,107.30066,72.95,9.24,197,31,147,6.2,938,57.29,27.66
Plot_A_Subur,74,2026-05-27 07:44:36,-6.316417,107.300246,27.24,31.46,211,30,183,6.35,981,55.41,28.5
Plot_A_Subur,75,2026-05-27 07:44:48,-6.316141,107.300157,17.34,62.23,215,30,176,6.48,947,58.96,27.28
Plot_A_Subur,76,2026-05-27 07:45:00,-6.316382,107.29986,-15.44,35.44,223,29,175,6.23,1009,60.09,27.83
Plot_A_Subur,77,2026-05-27 07:45:12,-6.315997,107.300248,27.38,78.26,201,34,192,6.22,920,59.33,27.2
Plot_A_Subur,78,2026-05-27 07:45:24,-6.316233,107.300428,47.35,52.04,213,31,172,6.23,883,59.37,28.71
Plot_A_Subur,79,2026-05-27 07:45:36,-6.31621,107.299655,-38.12,54.58,232,28,173,6.34,898,63.71,27.64
Plot_A_Subur,80,2026-05-27 07:45:48,-6.316534,107.299272,-80.43,18.45,228,25,146,6.26,922,62.81,28.51
Plot_A_Subur,81,2026-05-27 07:46:00,-6.316123,107.299959,-4.53,64.18,215,31,187,6.32,949,59.46,28.16
Plot_A_Subur,82,2026-05-27 07:46:12,-6.317256,107.299713,-31.72,-61.89,204,28,192,6.73,943,62.0,28.4
Plot_A_Subur,83,2026-05-27 07:46:24,-6.316675,107.300569,62.93,2.76,190,30,151,6.18,975,55.66,27.92
Plot_A_Subur,84,2026-05-27 07:46:36,-6.316575,107.299972,-3.1,13.87,220,29,183,6.35,1001,58.53,28.34
Plot_A_Subur,85,2026-05-27 07:46:48,-6.316018,107.29987,-14.35,75.95,218,30,185,6.48,904,60.28,28.5
Plot_A_Subur,86,2026-05-27 07:47:00,-6.316647,107.299459,-59.84,5.88,236,24,150,6.29,973,61.14,27.71
Plot_A_Subur,87,2026-05-27 07:47:12,-6.316861,107.300034,3.71,-17.9,208,29,181,6.66,1047,55.25,28.59
Plot_A_Subur,88,2026-05-27 07:47:24,-6.317186,107.300627,69.32,-54.12,180,34,169,6.4,938,56.23,28.5
Plot_A_Subur,89,2026-05-27 07:47:36,-6.317206,107.29946,-59.7,-56.28,216,28,174,6.49,882,62.9,28.41
Plot_A_Subur,90,2026-05-27 07:47:48,-6.316834,107.30048,53.05,-14.94,189,34,169,6.35,986,53.91,27.94
Plot_A_Subur,91,2026-05-27 07:48:00,-6.316615,107.299655,-38.08,9.49,242,26,166,6.31,969,59.18,28.44
Plot_A_Subur,92,2026-05-27 07:48:12,-6.316088,107.300703,77.71,68.16,208,33,161,6.14,761,62.36,27.34
Plot_A_Subur,93,2026-05-27 07:48:24,-6.316474,107.299603,-43.9,25.18,233,27,159,6.25,960,59.81,28.27
Plot_A_Subur,94,2026-05-27 07:48:36,-6.316858,107.299595,-44.74,-17.59,223,25,168,6.44,1011,59.81,29.14
Plot_A_Subur,95,2026-05-27 07:48:48,-6.316491,107.299725,-30.39,23.24,235,27,180,6.43,1041,60.62,27.7
Plot_A_Subur,96,2026-05-27 07:49:00,-6.316062,107.300155,17.17,70.99,209,32,189,6.48,855,61.44,27.74
Plot_A_Subur,97,2026-05-27 07:49:12,-6.316481,107.300517,57.13,24.39,211,31,146,6.16,977,56.34,28.03
Plot_A_Subur,98,2026-05-27 07:49:24,-6.317001,107.300482,53.24,-33.56,187,35,171,6.27,1060,52.71,28.85
Plot_A_Subur,99,2026-05-27 07:49:36,-6.317245,107.299512,-53.92,-60.72,223,28,181,6.67,832,60.52,29.06
Plot_A_Subur,100,2026-05-27 07:49:48,-6.31728,107.300679,75.11,-64.52,173,35,160,6.34,890,58.16,27.95
Plot_A_Subur,101,2026-05-27 07:50:00,-6.316583,107.299492,-56.11,12.98,225,25,156,6.35,974,62.2,28.02
Plot_A_Subur,102,2026-05-27 07:50:12,-6.316627,107.300614,67.86,8.1,194,32,139,6.35,977,56.19,27.88
Plot_A_Subur,103,2026-05-27 07:50:24,-6.317344,107.300381,42.12,-71.74,178,35,195,6.66,974,55.93,28.45
