plot_id,point_id,timestamp,lat,lng,x_m,y_m,N,P,K,pH,EC,hum,temp
Plot_B_Defisit_N,1,2026-05-27 07:30:00,-6.317139,107.299322,-74.92,-48.84,87,28,169,6.43,698,57.54,29.25
Plot_B_Defisit_N,2,2026-05-27 07:30:12,-6.317016,107.300166,18.37,-35.14,84,26,155,6.19,879,58.44,29.59
Plot_B_Defisit_N,3,2026-05-27 07:30:24,-6.31682,107.299375,-69.05,-13.41,94,31,160,6.21,699,57.95,29.11
Plot_B_Defisit_N,4,2026-05-27 07:30:36,-6.31597,107.299673,-36.11,81.27,67,31,139,6.44,891,58.05,28.84
Plot_B_Defisit_N,5,2026-05-27 07:30:48,-6.317097,107.299466,-59.0,-44.17,86,29,160,6.34,719,58.65,29.32
Plot_B_Defisit_N,6,2026-05-27 07:31:00,-6.316146,107.299992,-0.89,61.67,71,28,139,6.23,892,60.24,29.38
Plot_B_Defisit_N,7,2026-05-27 07:31:12,-6.316011,107.29967,-36.44,76.66,73,33,151,6.4,839,58.46,29.73
Plot_B_Defisit_N,8,2026-05-27 07:31:24,-6.316304,107.300603,66.68,44.12,111,30,150,5.9,862,59.23,29.61
Plot_B_Defisit_N,9,2026-05-27 07:31:36,-6.316969,107.299242,-83.8,-29.98,113,30,173,6.38,663,56.59,29.48
Plot_B_Defisit_N,10,2026-05-27 07:31:48,-6.316698,107.29946,-59.66,0.28,101,33,147,6.14,714,59.9,29.54
Plot_B_Defisit_N,11,2026-05-27 07:32:00,-6.317255,107.300306,33.8,-61.76,86,24,176,6.04,879,56.48,30.16
Plot_B_Defisit_N,12,2026-05-27 07:32:12,-6.316333,107.300024,2.61,40.81,85,31,136,6.16,853,60.05,29.26
Plot_B_Defisit_N,13,2026-05-27 07:32:24,-6.317357,107.299222,-85.98,-73.14,96,27,199,6.5,754,57.14,28.99
Plot_B_Defisit_N,14,2026-05-27 07:32:36,-6.316057,107.300157,17.38,71.62,79,29,138,6.15,940,59.41,29.2
Plot_B_Defisit_N,15,2026-05-27 07:32:48,-6.317145,107.299739,-28.83,-49.49,79,23,161,6.32,792,58.94,29.37
