plot_id,point_id,timestamp,lat,lng,x_m,y_m,N,P,K,pH,EC,hum,temp
Plot_C_Asam,1,2026-05-27 07:30:00,-6.316763,107.300398,44.02,-7.0,158,13,144,4.99,1219,60.03,27.44
Plot_C_Asam,2,2026-05-27 07:30:12,-6.316198,107.3003,33.13,55.9,133,14,142,5.14,1102,61.35,28.36
Plot_C_Asam,3,2026-05-27 07:30:24,-6.317207,107.300771,85.27,-56.4,160,13,133,4.65,1122,64.32,27.95
Plot_C_Asam,4,2026-05-27 07:30:36,-6.316023,107.299651,-38.63,75.34,109,16,130,5.04,1126,62.08,28.1
Plot_C_Asam,5,2026-05-27 07:30:48,-6.316867,107.299969,-3.43,-18.55,139,16,151,5.06,1294,64.11,28.09
Plot_C_Asam,6,2026-05-27 07:31:00,-6.316922,107.299302,-77.19,-24.66,155,11,156,4.52,1147,58.03,27.88
Plot_C_Asam,7,2026-05-27 07:31:12,-6.316959,107.299685,-34.85,-28.81,134,15,160,4.92,1242,61.56,28.15
Plot_C_Asam,8,2026-05-27 07:31:24,-6.317079,107.299843,-17.34,-42.14,133,17,147,4.88,1241,64.08,28.44
Plot_C_Asam,9,2026-05-27 07:31:36,-6.316339,107.299729,-29.95,40.18,124,13,150,5.07,1246,59.54,28.23
Plot_C_Asam,10,2026-05-27 07:31:48,-6.31615,107.300769,84.96,61.21,136,16,134,4.98,930,61.63,28.08
Plot_C_Asam,11,2026-05-27 07:32:00,-6.317123,107.300247,27.28,-47.08,141,14,147,4.96,1212,63.48,28.09
Plot_C_Asam,12,2026-05-27 07:32:12,-6.317244,107.300481,53.13,-60.51,146,15,125,5.09,1154,66.04,28.11
Plot_C_Asam,13,2026-05-27 07:32:24,-6.316961,107.299885,-12.75,-29.0,138,15,156,4.97,1291,61.95,27.99
Plot_C_Asam,14,2026-05-27 07:32:36,-6.317286,107.300259,28.66,-65.19,135,18,145,5.16,1112,66.18,27.9
Plot_C_Asam,15,2026-05-27 07:32:48,-6.316858,107.299532,-51.72,-17.53,136,12,149,4.69,1219,57.76,27.6
Plot_C_Asam,16,2026-05-27 07:33:00,-6.316485,107.300358,39.52,23.94,153,13,151,5.21,1128,60.69,28.36
Plot_C_Asam,17,2026-05-27 07:33:12,-6.316034,107.299931,-7.58,74.18,113,18,140,5.28,1194,63.39,28.38
Plot_C_Asam,18,2026-05-27 07:33:24,-6.316747,107.299836,-18.14,-5.24,130,14,163,5.03,1271,60.89,28.2
Plot_C_Asam,19,2026-05-27 07:33:36,-6.316579,107.299786,-23.69,13.45,130,14,161,4.97,1271,58.38,28.17
Plot_C_Asam,20,2026-05-27 07:33:48,-6.317126,107.300382,42.18,-47.4,150,16,126,4.95,1214,64.06,28.67
Plot_C_Asam,21,2026-05-27 07:34:00,-6.316012,107.299544,-50.44,76.53,106,17,135,5.09,1117,62.62,28.22
Plot_C_Asam,22,2026-05-27 07:34:12,-6.316296,107.299606,-43.51,45.0,112,14,143,4.9,1188,59.67,27.97
Plot_C_Asam,23,2026-05-27 07:34:24,-6.316181,107.300485,53.62,57.74,135,15,147,5.21,1025,61.94,28.33
Plot_C_Asam,24,2026-05-27 07:34:36,-6.316873,107.300029,3.21,-19.3,139,13,157,5.06,1253,63.02,27.63
Plot_C_Asam,25,2026-05-27 07:34:48,-6.317446,107.300254,28.04,-83.08,133,19,135,5.0,1096,68.61,28.53
Plot_C_Asam,26,2026-05-27 07:35:00,-6.317386,107.300739,81.66,-76.39,142,15,119,4.69,1032,66.33,28.26
Plot_C_Asam,27,2026-05-27 07:35:12,-6.316621,107.300356,39.4,8.77,157,14,152,5.09,1214,60.03,27.58
Plot_C_Asam,28,2026-05-27 07:35:24,-6.317349,107.300278,30.71,-72.21,139,18,130,4.99,1123,66.27,28.46
Plot_C_Asam,29,2026-05-27 07:35:36,-6.316668,107.299978,-2.39,3.53,141,12,157,5.1,1277,61.65,27.71
Plot_C_Asam,30,2026-05-27 07:35:48,-6.317237,107.300496,54.8,-59.8,145,14,130,4.98,1161,65.22,28.36
Plot_C_Asam,31,2026-05-27 07:36:00,-6.316368,107.299537,-51.13,36.95,119,13,145,4.91,1168,57.04,28.12
Plot_C_Asam,32,2026-05-27 07:36:12,-6.317156,107.300398,43.99,-50.75,147,15,137,5.1,1183,65.45,28.38
