plot_id,zone_id,zone_row,zone_col,area_ha,N,P,K,pH,EC,hum,temp
Plot_A_Subur,1,1,1,0.1875,212.34,27.81,180.77,6.56,892.67,60.95,28.44
Plot_A_Subur,2,1,2,0.1875,205.96,29.93,195.41,6.7,958.74,59.47,28.43
Plot_A_Subur,3,1,3,0.1875,193.62,32.0,196.75,6.65,972.39,57.27,28.47
Plot_A_Subur,4,1,4,0.1875,183.74,34.35,179.43,6.48,914.31,57.25,28.37
Plot_A_Subur,5,2,1,0.1875,223.98,26.14,163.04,6.42,954.07,60.23,28.26
Plot_A_Subur,6,2,2,0.1875,216.84,28.11,178.2,6.56,1012.05,58.8,28.46
Plot_A_Subur,7,2,3,0.1875,204.58,30.58,178.52,6.54,1038.67,55.59,28.44
Plot_A_Subur,8,2,4,0.1875,194.76,32.26,163.75,6.34,981.14,55.91,28.28
Plot_A_Subur,9,3,1,0.1875,229.44,26.27,158.08,6.3,947.39,60.94,28.06
Plot_A_Subur,10,3,2,0.1875,225.13,27.96,172.9,6.37,996.05,59.47,28.17
Plot_A_Subur,11,3,3,0.1875,213.0,29.88,174.63,6.4,982.95,57.12,28.19
Plot_A_Subur,12,3,4,0.1875,203.25,30.96,155.89,6.26,948.72,56.9,28.07
Plot_A_Subur,13,4,1,0.1875,224.1,28.28,168.46,6.32,904.1,61.16,28.06
Plot_A_Subur,14,4,2,0.1875,221.36,29.44,180.97,6.37,927.97,61.14,27.98
Plot_A_Subur,15,4,3,0.1875,212.45,30.99,179.43,6.36,923.29,59.1,27.85
Plot_A_Subur,16,4,4,0.1875,206.2,32.43,166.66,6.23,862.36,59.23,27.91
Plot_B_Defisit_N,1,1,1,0.1875,85.77,26.63,169.29,6.42,753.9,57.79,29.09
Plot_B_Defisit_N,2,1,2,0.1875,81.69,24.98,164.19,6.32,803.25,58.01,29.29
Plot_B_Defisit_N,3,1,3,0.1875,83.98,23.55,169.7,6.21,852.64,58.01,29.45
Plot_B_Defisit_N,4,1,4,0.1875,91.61,23.57,178.54,6.13,833.34,57.06,29.36
Plot_B_Defisit_N,5,2,1,0.1875,94.6,29.17,160.87,6.27,723.92,58.09,29.27
Plot_B_Defisit_N,6,2,2,0.1875,86.69,27.22,153.63,6.2,799.63,59.2,29.25
Plot_B_Defisit_N,7,2,3,0.1875,91.48,26.39,153.83,6.08,851.87,58.97,29.43
Plot_B_Defisit_N,8,2,4,0.1875,99.57,26.58,163.53,6.0,834.98,58.47,29.39
Plot_B_Defisit_N,9,3,1,0.1875,99.31,31.2,149.13,6.19,767.48,58.19,29.09
Plot_B_Defisit_N,10,3,2,0.1875,88.35,29.4,143.53,6.13,823.71,59.54,29.19
Plot_B_Defisit_N,11,3,3,0.1875,94.11,28.58,142.74,5.97,879.69,59.73,29.4
Plot_B_Defisit_N,12,3,4,0.1875,103.68,28.8,152.66,5.92,868.69,59.17,29.23
Plot_B_Defisit_N,13,4,1,0.1875,90.47,31.77,146.55,6.24,807.92,58.39,28.94
Plot_B_Defisit_N,14,4,2,0.1875,80.54,30.02,145.16,6.21,857.72,59.08,29.21
Plot_B_Defisit_N,15,4,3,0.1875,84.25,28.57,146.5,6.06,901.93,58.93,29.27
Plot_B_Defisit_N,16,4,4,0.1875,99.11,28.79,155.0,5.95,877.16,58.18,29.11
Plot_C_Asam,1,1,1,0.1875,138.27,15.89,140.58,4.72,1156.14,61.32,28.22
Plot_C_Asam,2,1,2,0.1875,131.68,17.11,141.85,4.92,1198.36,63.26,28.4
Plot_C_Asam,3,1,3,0.1875,137.52,16.92,138.11,5.04,1149.04,64.84,28.21
Plot_C_Asam,4,1,4,0.1875,146.97,14.87,131.83,4.93,1112.27,65.01,28.3
Plot_C_Asam,5,2,1,0.1875,140.04,12.99,150.23,4.74,1197.81,59.44,28.04
Plot_C_Asam,6,2,2,0.1875,135.43,14.58,154.49,4.97,1253.71,61.7,28.11
Plot_C_Asam,7,2,3,0.1875,142.94,14.3,147.47,5.05,1223.59,62.4,28.07
Plot_C_Asam,8,2,4,0.1875,152.61,13.65,138.82,4.94,1174.91,61.88,28.03
Plot_C_Asam,9,3,1,0.1875,131.27,12.54,148.74,4.82,1189.76,58.8,28.02
Plot_C_Asam,10,3,2,0.1875,129.13,13.24,154.54,4.99,1235.02,60.24,28.04
Plot_C_Asam,11,3,3,0.1875,140.24,13.44,149.46,5.11,1192.75,60.93,27.95
Plot_C_Asam,12,3,4,0.1875,148.96,12.99,143.3,4.98,1114.34,60.72,27.88
Plot_C_Asam,13,4,1,0.1875,122.38,14.49,138.91,4.93,1125.68,60.31,28.09
Plot_C_Asam,14,4,2,0.1875,119.0,14.47,142.83,5.06,1171.57,61.29,28.19
Plot_C_Asam,15,4,3,0.1875,126.72,14.83,141.77,5.16,1139.65,62.14,28.17
Plot_C_Asam,16,4,4,0.1875,137.99,14.53,138.25,5.08,1022.79,62.28,28.08
