plot_id,zone_id,zone_row,zone_col,area_ha,target_crop,N_actual,P_actual,K_actual,N_target,P_target,K_target,N_deficit_mgkg,P_deficit_mgkg,K_deficit_mgkg,Urea_kg_per_ha,SP36_kg_per_ha,KCl_kg_per_ha,Urea_kg_zone,SP36_kg_zone,KCl_kg_zone,cost_idr_zone
Plot_A_Subur,1,1,1,0.1875,Padi,212.3,27.8,180.8,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,2,1,2,0.1875,Padi,206.0,29.9,195.4,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,3,1,3,0.1875,Padi,193.6,32.0,196.8,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,4,1,4,0.1875,Padi,183.7,34.4,179.4,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,5,2,1,0.1875,Padi,224.0,26.1,163.0,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,6,2,2,0.1875,Padi,216.8,28.1,178.2,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,7,2,3,0.1875,Padi,204.6,30.6,178.5,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,8,2,4,0.1875,Padi,194.8,32.3,163.8,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,9,3,1,0.1875,Padi,229.4,26.3,158.1,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,10,3,2,0.1875,Padi,225.1,28.0,172.9,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,11,3,3,0.1875,Padi,213.0,29.9,174.6,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,12,3,4,0.1875,Padi,203.2,31.0,155.9,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,13,4,1,0.1875,Padi,224.1,28.3,168.5,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,14,4,2,0.1875,Padi,221.4,29.4,181.0,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,15,4,3,0.1875,Padi,212.4,31.0,179.4,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,16,4,4,0.1875,Padi,206.2,32.4,166.7,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
