plot_id,zone_id,zone_row,zone_col,area_ha,target_crop,N_actual,P_actual,K_actual,N_target,P_target,K_target,N_deficit_mgkg,P_deficit_mgkg,K_deficit_mgkg,Urea_kg_per_ha,SP36_kg_per_ha,KCl_kg_per_ha,Urea_kg_zone,SP36_kg_zone,KCl_kg_zone,cost_idr_zone
Plot_B_Defisit_N,1,1,1,0.1875,Singkong,85.8,26.6,169.3,100.0,20.0,220.0,14.2,0.0,50.7,80.43,0.0,219.74,15.08,0.0,41.2,239941.0
Plot_B_Defisit_N,2,1,2,0.1875,Singkong,81.7,25.0,164.2,100.0,20.0,220.0,18.3,0.0,55.8,103.49,0.0,241.84,19.4,0.0,45.35,270389.0
Plot_B_Defisit_N,3,1,3,0.1875,Singkong,84.0,23.6,169.7,100.0,20.0,220.0,16.0,0.0,50.3,90.55,0.0,217.97,16.98,0.0,40.87,242544.0
Plot_B_Defisit_N,4,1,4,0.1875,Singkong,91.6,23.6,178.5,100.0,20.0,220.0,8.4,0.0,41.5,47.42,0.0,179.66,8.89,0.0,33.69,188437.0
Plot_B_Defisit_N,5,2,1,0.1875,Singkong,94.6,29.2,160.9,100.0,20.0,220.0,5.4,0.0,59.1,30.52,0.0,256.23,5.72,0.0,48.04,253092.0
Plot_B_Defisit_N,6,2,2,0.1875,Singkong,86.7,27.2,153.6,100.0,20.0,220.0,13.3,0.0,66.4,75.23,0.0,287.6,14.11,0.0,53.93,301366.0
Plot_B_Defisit_N,7,2,3,0.1875,Singkong,91.5,26.4,153.8,100.0,20.0,220.0,8.5,0.0,66.2,48.16,0.0,286.74,9.03,0.0,53.76,289132.0
Plot_B_Defisit_N,8,2,4,0.1875,Singkong,99.6,26.6,163.5,100.0,20.0,220.0,0.4,0.0,56.5,2.43,0.0,244.7,0.46,0.0,45.88,230435.0
Plot_B_Defisit_N,9,3,1,0.1875,Singkong,99.3,31.2,149.1,100.0,20.0,220.0,0.7,0.0,70.9,3.9,0.0,307.1,0.73,0.0,57.58,289555.0
Plot_B_Defisit_N,10,3,2,0.1875,Singkong,88.3,29.4,143.5,100.0,20.0,220.0,11.7,0.0,76.5,65.85,0.0,331.37,12.35,0.0,62.13,338439.0
Plot_B_Defisit_N,11,3,3,0.1875,Singkong,94.1,28.6,142.7,100.0,20.0,220.0,5.9,0.0,77.3,33.29,0.0,334.79,6.24,0.0,62.77,327914.0
Plot_B_Defisit_N,12,3,4,0.1875,Singkong,103.7,28.8,152.7,100.0,20.0,220.0,0.0,0.0,67.3,0.0,0.0,291.81,0.0,0.0,54.71,273569.0
Plot_B_Defisit_N,13,4,1,0.1875,Singkong,90.5,31.8,146.6,100.0,20.0,220.0,9.5,0.0,73.4,53.87,0.0,318.28,10.1,0.0,59.68,321115.0
Plot_B_Defisit_N,14,4,2,0.1875,Singkong,80.5,30.0,145.2,100.0,20.0,220.0,19.5,0.0,74.8,109.99,0.0,324.31,20.62,0.0,60.81,350440.0
Plot_B_Defisit_N,15,4,3,0.1875,Singkong,84.2,28.6,146.5,100.0,20.0,220.0,15.8,0.0,73.5,89.02,0.0,318.5,16.69,0.0,59.72,336150.0
Plot_B_Defisit_N,16,4,4,0.1875,Singkong,99.1,28.8,155.0,100.0,20.0,220.0,0.9,0.0,65.0,5.03,0.0,281.67,0.94,0.0,52.81,266185.0
