plot_id,zone_id,zone_row,zone_col,area_ha,target_crop,N_actual,P_actual,K_actual,N_target,P_target,K_target,N_deficit_mgkg,P_deficit_mgkg,K_deficit_mgkg,Urea_kg_per_ha,SP36_kg_per_ha,KCl_kg_per_ha,Urea_kg_zone,SP36_kg_zone,KCl_kg_zone,cost_idr_zone
Plot_C_Asam,1,1,1,0.1875,Singkong,138.3,15.9,140.6,100.0,20.0,220.0,0.0,4.1,79.4,0.0,29.68,344.15,0.0,5.57,64.53,336001.0
Plot_C_Asam,2,1,2,0.1875,Singkong,131.7,17.1,141.8,100.0,20.0,220.0,0.0,2.9,78.2,0.0,20.87,338.65,0.0,3.91,63.5,326877.0
Plot_C_Asam,3,1,3,0.1875,Singkong,137.5,16.9,138.1,100.0,20.0,220.0,0.0,3.1,81.9,0.0,22.24,354.86,0.0,4.17,66.54,342688.0
Plot_C_Asam,4,1,4,0.1875,Singkong,147.0,14.9,131.8,100.0,20.0,220.0,0.0,5.1,88.2,0.0,37.05,382.07,0.0,6.95,71.64,374863.0
Plot_C_Asam,5,2,1,0.1875,Singkong,140.0,13.0,150.2,100.0,20.0,220.0,0.0,7.0,69.8,0.0,50.63,302.34,0.0,9.49,56.69,306223.0
Plot_C_Asam,6,2,2,0.1875,Singkong,135.4,14.6,154.5,100.0,20.0,220.0,0.0,5.4,65.5,0.0,39.14,283.88,0.0,7.34,53.23,283749.0
Plot_C_Asam,7,2,3,0.1875,Singkong,142.9,14.3,147.5,100.0,20.0,220.0,0.0,5.7,72.5,0.0,41.17,314.3,0.0,7.72,58.93,313178.0
Plot_C_Asam,8,2,4,0.1875,Singkong,152.6,13.7,138.8,100.0,20.0,220.0,0.0,6.3,81.2,0.0,45.86,351.78,0.0,8.6,65.96,350431.0
Plot_C_Asam,9,3,1,0.1875,Singkong,131.3,12.5,148.7,100.0,20.0,220.0,0.0,7.5,71.3,0.0,53.88,308.79,0.0,10.1,57.9,313739.0
Plot_C_Asam,10,3,2,0.1875,Singkong,129.1,13.2,154.5,100.0,20.0,220.0,0.0,6.8,65.5,0.0,48.82,283.66,0.0,9.15,53.19,287901.0
Plot_C_Asam,11,3,3,0.1875,Singkong,140.2,13.4,149.5,100.0,20.0,220.0,0.0,6.6,70.5,0.0,47.38,305.67,0.0,8.88,57.31,307889.0
Plot_C_Asam,12,3,4,0.1875,Singkong,149.0,13.0,143.3,100.0,20.0,220.0,0.0,7.0,76.7,0.0,50.63,332.37,0.0,9.49,62.32,334376.0
Plot_C_Asam,13,4,1,0.1875,Singkong,122.4,14.5,138.9,100.0,20.0,220.0,0.0,5.5,81.1,0.0,39.79,351.39,0.0,7.46,65.89,347336.0
Plot_C_Asam,14,4,2,0.1875,Singkong,119.0,14.5,142.8,100.0,20.0,220.0,0.0,5.5,77.2,0.0,39.94,334.4,0.0,7.49,62.7,331476.0
Plot_C_Asam,15,4,3,0.1875,Singkong,126.7,14.8,141.8,100.0,20.0,220.0,0.0,5.2,78.2,0.0,37.34,339.0,0.0,7.0,63.56,334612.0
Plot_C_Asam,16,4,4,0.1875,Singkong,138.0,14.5,138.2,100.0,20.0,220.0,0.0,5.5,81.8,0.0,39.51,354.25,0.0,7.41,66.42,349887.0
