plot_id,zone_id,zone_row,zone_col,area_ha,target_crop,N_actual,P_actual,K_actual,N_target,P_target,K_target,N_deficit_mgkg,P_deficit_mgkg,K_deficit_mgkg,Urea_kg_per_ha,SP36_kg_per_ha,KCl_kg_per_ha,Urea_kg_zone,SP36_kg_zone,KCl_kg_zone,cost_idr_zone
Plot_A_Subur,1,1,1,0.1875,Padi,212.3,27.8,180.8,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,2,1,2,0.1875,Padi,206.0,29.9,195.4,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,3,1,3,0.1875,Padi,193.6,32.0,196.8,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,4,1,4,0.1875,Padi,183.7,34.4,179.4,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,5,2,1,0.1875,Padi,224.0,26.1,163.0,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,6,2,2,0.1875,Padi,216.8,28.1,178.2,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,7,2,3,0.1875,Padi,204.6,30.6,178.5,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,8,2,4,0.1875,Padi,194.8,32.3,163.8,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,9,3,1,0.1875,Padi,229.4,26.3,158.1,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,10,3,2,0.1875,Padi,225.1,28.0,172.9,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,11,3,3,0.1875,Padi,213.0,29.9,174.6,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,12,3,4,0.1875,Padi,203.2,31.0,155.9,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,13,4,1,0.1875,Padi,224.1,28.3,168.5,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,14,4,2,0.1875,Padi,221.4,29.4,181.0,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,15,4,3,0.1875,Padi,212.4,31.0,179.4,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_A_Subur,16,4,4,0.1875,Padi,206.2,32.4,166.7,180.0,25.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plot_B_Defisit_N,1,1,1,0.1875,Singkong,85.8,26.6,169.3,100.0,20.0,220.0,14.2,0.0,50.7,80.43,0.0,219.74,15.08,0.0,41.2,239941.0
Plot_B_Defisit_N,2,1,2,0.1875,Singkong,81.7,25.0,164.2,100.0,20.0,220.0,18.3,0.0,55.8,103.49,0.0,241.84,19.4,0.0,45.35,270389.0
Plot_B_Defisit_N,3,1,3,0.1875,Singkong,84.0,23.6,169.7,100.0,20.0,220.0,16.0,0.0,50.3,90.55,0.0,217.97,16.98,0.0,40.87,242544.0
Plot_B_Defisit_N,4,1,4,0.1875,Singkong,91.6,23.6,178.5,100.0,20.0,220.0,8.4,0.0,41.5,47.42,0.0,179.66,8.89,0.0,33.69,188437.0
Plot_B_Defisit_N,5,2,1,0.1875,Singkong,94.6,29.2,160.9,100.0,20.0,220.0,5.4,0.0,59.1,30.52,0.0,256.23,5.72,0.0,48.04,253092.0
Plot_B_Defisit_N,6,2,2,0.1875,Singkong,86.7,27.2,153.6,100.0,20.0,220.0,13.3,0.0,66.4,75.23,0.0,287.6,14.11,0.0,53.93,301366.0
Plot_B_Defisit_N,7,2,3,0.1875,Singkong,91.5,26.4,153.8,100.0,20.0,220.0,8.5,0.0,66.2,48.16,0.0,286.74,9.03,0.0,53.76,289132.0
Plot_B_Defisit_N,8,2,4,0.1875,Singkong,99.6,26.6,163.5,100.0,20.0,220.0,0.4,0.0,56.5,2.43,0.0,244.7,0.46,0.0,45.88,230435.0
Plot_B_Defisit_N,9,3,1,0.1875,Singkong,99.3,31.2,149.1,100.0,20.0,220.0,0.7,0.0,70.9,3.9,0.0,307.1,0.73,0.0,57.58,289555.0
Plot_B_Defisit_N,10,3,2,0.1875,Singkong,88.3,29.4,143.5,100.0,20.0,220.0,11.7,0.0,76.5,65.85,0.0,331.37,12.35,0.0,62.13,338439.0
Plot_B_Defisit_N,11,3,3,0.1875,Singkong,94.1,28.6,142.7,100.0,20.0,220.0,5.9,0.0,77.3,33.29,0.0,334.79,6.24,0.0,62.77,327914.0
Plot_B_Defisit_N,12,3,4,0.1875,Singkong,103.7,28.8,152.7,100.0,20.0,220.0,0.0,0.0,67.3,0.0,0.0,291.81,0.0,0.0,54.71,273569.0
Plot_B_Defisit_N,13,4,1,0.1875,Singkong,90.5,31.8,146.6,100.0,20.0,220.0,9.5,0.0,73.4,53.87,0.0,318.28,10.1,0.0,59.68,321115.0
Plot_B_Defisit_N,14,4,2,0.1875,Singkong,80.5,30.0,145.2,100.0,20.0,220.0,19.5,0.0,74.8,109.99,0.0,324.31,20.62,0.0,60.81,350440.0
Plot_B_Defisit_N,15,4,3,0.1875,Singkong,84.2,28.6,146.5,100.0,20.0,220.0,15.8,0.0,73.5,89.02,0.0,318.5,16.69,0.0,59.72,336150.0
Plot_B_Defisit_N,16,4,4,0.1875,Singkong,99.1,28.8,155.0,100.0,20.0,220.0,0.9,0.0,65.0,5.03,0.0,281.67,0.94,0.0,52.81,266185.0
Plot_C_Asam,1,1,1,0.1875,Singkong,138.3,15.9,140.6,100.0,20.0,220.0,0.0,4.1,79.4,0.0,29.68,344.15,0.0,5.57,64.53,336001.0
Plot_C_Asam,2,1,2,0.1875,Singkong,131.7,17.1,141.8,100.0,20.0,220.0,0.0,2.9,78.2,0.0,20.87,338.65,0.0,3.91,63.5,326877.0
Plot_C_Asam,3,1,3,0.1875,Singkong,137.5,16.9,138.1,100.0,20.0,220.0,0.0,3.1,81.9,0.0,22.24,354.86,0.0,4.17,66.54,342688.0
Plot_C_Asam,4,1,4,0.1875,Singkong,147.0,14.9,131.8,100.0,20.0,220.0,0.0,5.1,88.2,0.0,37.05,382.07,0.0,6.95,71.64,374863.0
Plot_C_Asam,5,2,1,0.1875,Singkong,140.0,13.0,150.2,100.0,20.0,220.0,0.0,7.0,69.8,0.0,50.63,302.34,0.0,9.49,56.69,306223.0
Plot_C_Asam,6,2,2,0.1875,Singkong,135.4,14.6,154.5,100.0,20.0,220.0,0.0,5.4,65.5,0.0,39.14,283.88,0.0,7.34,53.23,283749.0
Plot_C_Asam,7,2,3,0.1875,Singkong,142.9,14.3,147.5,100.0,20.0,220.0,0.0,5.7,72.5,0.0,41.17,314.3,0.0,7.72,58.93,313178.0
Plot_C_Asam,8,2,4,0.1875,Singkong,152.6,13.7,138.8,100.0,20.0,220.0,0.0,6.3,81.2,0.0,45.86,351.78,0.0,8.6,65.96,350431.0
Plot_C_Asam,9,3,1,0.1875,Singkong,131.3,12.5,148.7,100.0,20.0,220.0,0.0,7.5,71.3,0.0,53.88,308.79,0.0,10.1,57.9,313739.0
Plot_C_Asam,10,3,2,0.1875,Singkong,129.1,13.2,154.5,100.0,20.0,220.0,0.0,6.8,65.5,0.0,48.82,283.66,0.0,9.15,53.19,287901.0
Plot_C_Asam,11,3,3,0.1875,Singkong,140.2,13.4,149.5,100.0,20.0,220.0,0.0,6.6,70.5,0.0,47.38,305.67,0.0,8.88,57.31,307889.0
Plot_C_Asam,12,3,4,0.1875,Singkong,149.0,13.0,143.3,100.0,20.0,220.0,0.0,7.0,76.7,0.0,50.63,332.37,0.0,9.49,62.32,334376.0
Plot_C_Asam,13,4,1,0.1875,Singkong,122.4,14.5,138.9,100.0,20.0,220.0,0.0,5.5,81.1,0.0,39.79,351.39,0.0,7.46,65.89,347336.0
Plot_C_Asam,14,4,2,0.1875,Singkong,119.0,14.5,142.8,100.0,20.0,220.0,0.0,5.5,77.2,0.0,39.94,334.4,0.0,7.49,62.7,331476.0
Plot_C_Asam,15,4,3,0.1875,Singkong,126.7,14.8,141.8,100.0,20.0,220.0,0.0,5.2,78.2,0.0,37.34,339.0,0.0,7.0,63.56,334612.0
Plot_C_Asam,16,4,4,0.1875,Singkong,138.0,14.5,138.2,100.0,20.0,220.0,0.0,5.5,81.8,0.0,39.51,354.25,0.0,7.41,66.42,349887.0
